Date,Actual,ARIMA,Prophet,XGBoost,lstm_predictions
2015-04-10,3549,4831.802863805588,4734.270676213514,4119.3394,4736.14599609375
2015-04-11,4173,4832.773779524135,4903.326912684673,4326.1323,4574.4794921875
2015-04-13,5377,4831.823802624317,5153.314359613719,5707.117,4525.60546875
2015-04-14,4648,4832.753294360849,4636.638902571602,5161.7188,4635.74169921875
2015-04-15,4110,4831.843847582622,4518.623184322986,4735.5415,4632.01806640625
2015-04-16,4116,4832.733682809419,4428.8479420036965,4561.135,4564.1806640625
2015-04-17,4718,4831.863037053639,4745.909551932726,4661.7417,4511.7490234375
2015-04-18,4594,4832.714907771717,4934.368439635212,4773.4165,4544.14208984375
2015-04-20,3722,4831.881407664301,5220.774409685768,4147.7637,4553.67578125
2015-04-21,3037,4832.696933652274,4720.457644825431,3687.146,4453.02392578125
2015-04-22,3319,4831.898994420002,4617.158138651916,3756.5554,4289.5986328125
2015-04-23,3076,4832.679726331034,4540.18084287091,3739.2332,4195.41357421875
2015-04-24,3198,4831.915830800862,4867.877758596356,4099.113,4090.638916015625
2015-04-25,4318,4832.6632531202995,5064.601624796571,4338.11,4022.896728515625
2015-04-27,5575,4831.931948841427,5359.807529507797,5492.1035,4103.224609375
2015-04-28,5199,4832.647482714372,4859.833952803933,5081.9653,4318.947265625
2015-04-29,5775,4831.947379200236,4754.129879370061,5053.7363,4445.74462890625
2015-04-30,6228,4832.632385136389,4672.034272305446,5767.6016,4618.8662109375
2015-05-02,5850,4831.962151222797,5178.483220798204,5419.386,4812.86572265625
2015-05-04,5591,4832.617931684759,5446.604913215168,6003.245,4919.87744140625
2015-05-05,4564,4831.976292999899,4930.305175359991,5327.6606,4972.22802734375
2015-05-06,4960,4832.604094880448,4806.842044949649,4706.0547,4883.68994140625
2015-05-07,4529,4831.989831422394,4705.915219174957,4774.8594,4864.57763671875
2015-05-08,4683,4832.590848415733,5006.3517305047635,4909.0005,4794.04931640625
2015-05-09,4945,4832.002792233061,5173.051031956576,4986.845,4759.1728515625
2015-05-11,3551,4832.578167104716,5402.3962386447,4202.274,4764.546875
2015-05-12,3547,4832.01520007595,4867.936191454449,3677.9333,4594.50537109375
2015-05-13,3998,4832.566026835735,4727.652470534558,3716.8306,4463.10302734375
2015-05-15,4178,4832.027078543452,4898.933969067904,4290.745,4415.85302734375
2015-05-16,4431,4832.55440452567,5054.821287539528,4644.1616,4400.017578125
2015-05-18,5280,4832.038450221278,5270.252027798249,5516.8267,4418.95361328125
2015-05-19,5235,4832.543278076144,4732.952297686264,5114.107,4538.60302734375
2015-05-20,4735,4832.049336731461,4592.639345383585,4984.958,4627.41796875
2015-05-21,3755,4832.532626331545,4479.333909696589,4536.21,4635.58056640625
2015-05-22,4459,4832.059758773504,4772.077801101794,4427.884,4520.48779296875
2015-05-23,4276,4832.5224290388305,4935.872460898678,4825.5845,4517.658203125
2015-05-26,4211,4832.069736163755,4650.038704689041,3882.3428,4491.11962890625
2015-05-27,4083,4832.5126668090315,4524.691857181434,3951.7522,4462.17919921875
2015-05-28,4111,4832.079287873096,4427.151163370106,3951.7522,4423.521484375
2015-05-29,4656,4832.503321080392,4736.010011080694,4460.4395,4396.74267578125
2015-05-30,5592,4832.088432063021,4915.8095568124545,4725.417,4442.7119140625
2015-06-01,5774,4832.494374083081,5183.384497857593,5680.5547,4594.26806640625
2015-06-02,5450,4832.097186120166,4672.802533904138,5637.4546,4737.52978515625
2015-06-03,5809,4832.485808805409,4558.602631759442,5182.18,4811.44921875
2015-06-05,5384,4832.105566689374,4785.426076723539,5772.5957,4915.2470703125
2015-06-06,4183,4832.477608961477,4969.083173296745,5103.2065,4943.0068359375
2015-06-08,4071,4832.113589705342,5235.861307197292,3868.691,4813.81689453125
2015-06-09,4102,4832.46975896022,4720.569449160695,3912.855,4699.46435546875
2015-06-10,3591,4832.121270422919,4598.883256315327,3982.2644,4613.00927734375
2015-06-11,3627,4832.462243875757,4500.232175471326,3723.6772,4481.5546875
2015-06-12,3695,4832.128623446114,4803.176920376549,4065.8894,4383.7177734375
2015-06-13,4256,4832.4550494190125,4972.362388821478,4273.78,4315.19677734375
2015-06-15,5518,4832.135662755862,5205.698025261912,5437.3267,4329.6142578125
2015-06-16,4852,4832.44816191055,4672.355126795384,5182.18,4495.6884765625
2015-06-17,4000,4832.142401736605,4532.4032379885775,4704.7627,4545.01513671875
2015-06-18,4645,4832.441568254556,4415.799925936421,4462.1304,4479.533203125
2015-06-19,4202,4832.148853201748,4701.636480172589,4764.9116,4508.2666015625
2015-06-20,4097,4832.435255913948,4855.076311824696,4539.3306,4474.69775390625
2015-06-22,3846,4832.155029418015,5062.935971740772,3831.1904,4435.38232421875
2015-06-23,3762,4832.42921288653,4520.712370925776,3693.511,4373.0615234375
2015-06-24,3346,4832.160942128776,4374.916704184933,3704.2305,4313.455078125
2015-06-25,3533,4832.423427682175,4255.763666090747,3686.1768,4215.04052734375
2015-06-26,3317,4832.166602576375,4542.517742255679,3977.9458,4160.36376953125
2015-06-27,4019,4832.4178893009785,4700.425415884499,4198.793,4090.5146484375
2015-06-29,5197,4832.172021523508,4927.73285580577,5435.9165,4120.466796875
2015-06-30,5735,4832.4125872123395,4400.182724128528,4968.325,4286.1630859375
2015-07-01,5223,4832.177209273684,4272.002931189378,5240.8843,4484.42529296875
2015-07-02,5558,4832.407511334942,4173.033633843657,4984.025,4580.21728515625
2015-07-03,4665,4832.1821756908175,4482.089467195064,5201.262,4698.56103515625
2015-07-04,4797,4832.402652017585,4663.9025814979495,4594.1807,4680.4833984375
2015-07-06,4359,4832.186930217985,4941.530133215178,4044.621,4683.0361328125
2015-07-07,3650,4832.39800002083,4439.16561233506,3969.9558,4629.51318359375
2015-07-08,3797,4832.191481895376,4335.34878444777,3721.0544,4499.64404296875
2015-07-09,3897,4832.393546499437,4259.2996099121965,3762.9204,4416.6845703125
2015-07-10,3808,4832.195839377485,4589.240068335022,4174.9297,4363.158203125
2015-07-11,3530,4832.389282985544,4789.353209111943,4382.821,4310.2783203125
2015-07-13,5054,4832.2000109495675,5093.93713143455,5300.447,4235.337890625
2015-07-14,5042,4832.385201372565,4599.476323338959,5113.174,4362.5859375
2015-07-15,4767,4832.204004543392,4499.494851458681,4986.028,4461.25048828125
2015-07-16,4427,4832.381293899778,4423.073032210384,4567.8345,4506.87890625
2015-07-17,4852,4832.2078277523215,4748.398779968726,4758.9736,4501.27490234375
2015-07-18,4406,4832.377553137571,4939.728478641228,4624.1826,4549.34619140625
2015-07-20,4395,4832.211487845751,5215.060492346205,3845.3625,4531.19677734375
2015-07-21,3558,4832.373971973312,4700.791181078865,3952.5647,4515.49072265625
2015-07-22,3464,4832.214991782931,4578.136371187505,3673.1511,4399.60400390625
2015-07-23,3769,4832.370543597825,4476.7153120546545,3655.8289,4297.9619140625
2015-07-24,3706,4832.218346226197,4775.31572842138,4027.092,4254.53466796875
2015-07-25,4364,4832.367261492446,4938.839159329487,4168.446,4212.17138671875
2015-07-27,6102,4832.221557553642,5158.021240587942,5500.9004,4259.03759765625
2015-07-28,5011,4832.364119416626,4616.769870638869,5597.3594,4508.7109375
2015-07-29,4782,4832.224631871236,4468.739221355223,4969.0317,4573.29052734375
2015-07-30,5020,4832.361111396065,4344.157812542191,4520.2837,4597.87158203125
2015-07-31,5263,4832.2275750244435,4622.363741948173,4915.5947,4646.50341796875
